Google excel sheet link: https://docs.google.com/spreadsheets/d/1r5qCTxiaWadDm4Tphml9R8aqlQ-V4XE3FZOmV6aRab0/edit?gid=0#gid=0,,,,,,,,,,,,,,,,,,,,
Domain,TLD,Has common tld,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,No of Dots,Label
graphicriver.net,.net,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0
ecnavi.jp,.jp,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0
hubpages.com,.com,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
extratorrent.cc,.cc,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
icicibank.com,.com,1,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
nypost.com,.com,1,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,1,0
kienthuc.net.vn,.vn,0,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,2,0
thenextweb.com,.com,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0
tobogo.net,.net,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0
akhbarelyom.com,.com,1,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,0
tunein.com,.com,1,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,1,1,0
tune.pk,.pk,0,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,1,0
sfglobe.com,.com,1,0,0,1,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0
mic.com,.com,1,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
thenextweb.com,.com,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0
couchtuner.eu.com,.com,1,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,2,0
olx.in,.in,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,1,1,0
venturebeat.com,.com,1,0,0,1,4,0,0,1,0,0,1,0,1,0,0,1,0,1,0
allegro.pl,.pl,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1,1,0
allegro.pl,.pl,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1,1,0
tinnhanh360.net,.net,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0
metro.co.uk,.uk,0,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,2,0
atwiki.jp,.jp,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1,0
emgn.com,.com,1,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,1,0
nguyentandung.org,.org,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
motthegioi.vn,.vn,0,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,1,0
spankbang.com,.com,1,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
torcache.net,.net,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0
mic.com,.com,1,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
thenextweb.com,.com,1,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,0,1,0
emgn.com,.com,1,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,1,0
depositphotos.com,.com,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
serverfault.com,.com,1,0,0,1,3,0,0,1,0,0,1,0,1,0,0,1,0,1,0
kakaku.com,.com,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0
indianexpress.com,.com,1,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1,0
nypost.com,.com,1,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,1,0
distractify.com,.com,1,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0,1,0
sourceforge.net,.net,1,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,1,0
babal.net,.net,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0
serverfault.com,.com,1,0,0,1,3,0,0,1,0,0,1,0,1,0,0,1,0,1,0
cookpad.com,.com,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
plarium.com,.com,1,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,0
pikabu.ru,.ru,1,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,1,0
grantland.com,.com,1,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1,0
allegro.pl,.pl,0,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,0
nguyentandung.org,.org,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
allegro.pl,.pl,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1,0
europa.eu,.eu,0,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1,0
extratorrent.cc,.cc,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
persianblog.ir,.ir,0,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,1,0
distractify.com,.com,1,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0,1,0
kenh14.vn,.vn,0,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,1,0
twitter.com,.com,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0
nesn.com,.com,1,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
fishki.net,.net,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
syosetu.com,.com,1,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,1,0
akhbarelyom.com,.com,1,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,0
allegro.pl,.pl,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0
getpocket.com,.com,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0
mylust.com,.com,1,0,0,1,3,0,0,1,0,0,1,1,1,0,0,1,0,1,0
censor.net.ua,.ua,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,2,0
pornsharing.com,.com,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
genius.com,.com,1,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
sourceforge.net,.net,1,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,1,0
codecanyon.net,.net,1,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,1,0
qz.com,.com,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0
kenh14.vn,.vn,0,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,1,0
uproxx.com,.com,1,0,0,1,4,0,0,1,0,0,1,0,1,0,0,1,0,1,0
babal.net,.net,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0
mic.com,.com,1,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
torcache.net,.net,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0
paytm.com,.com,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,1,0
motthegioi.vn,.vn,0,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,1,0
torcache.net,.net,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0
thenextweb.com,.com,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0
extratorrent.cc,.cc,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
genius.com,.com,1,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
thenextweb.com,.com,1,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,1,0
kienthuc.net.vn,.vn,0,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,2,0
sourceforge.net,.net,1,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,1,0
nypost.com,.com,1,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,1,0
ap.org,.org,1,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1,0
indianexpress.com,.com,1,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1,0
extratorrent.cc,.cc,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
correios.com.br,.br,0,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,2,0
web.de,.de,0,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1,0
noticias.uol.com.br,.br,0,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,3,0
bdnews24.com,.com,1,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,0
kenh14.vn,.vn,0,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,1,0
codecanyon.net,.net,1,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,1,0
tunein.com,.com,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0
nguyentandung.org,.org,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
kickass.to,.to,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0
weathernews.jp,.jp,0,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1,0
atwiki.jp,.jp,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1,0
plarium.com,.com,1,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,0
chaturbate.com,.com,1,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
babal.net,.net,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0
sberbank.ru,.ru,1,0,0,1,9,0,0,0,0,0,1,0,0,0,0,1,1,1,0
torcache.net,.net,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0
torcache.net,.net,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0
pikabu.ru,.ru,1,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,1,0
mirtesen.ru,.ru,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
mirtesen.ru,.ru,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
distractify.com,.com,1,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0,1,0
jalopnik.com,.com,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0
techcrunch.com,.com,1,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1,0
twitter.com,.com,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0
torcache.net,.net,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0
thenextweb.com,.com,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0
arstechnica.com,.com,1,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1,0
tunein.com,.com,1,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,1,1,0
torrentdn.com,.com,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0
searchengineland.com,.com,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
nesn.com,.com,1,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
paytm.com,.com,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,1,0
torcache.net,.net,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0
metro.co.uk,.uk,0,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,2,0
censor.net.ua,.ua,0,0,0,1,14,0,0,0,0,0,1,0,1,0,0,1,0,2,0
depositphotos.com,.com,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
thenextweb.com,.com,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0
putlocker.is,.is,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
tunein.com,.com,1,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,0
lifehacker.com,.com,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0
extratorrent.cc,.cc,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
mylust.com,.com,1,0,0,1,3,0,0,1,0,0,1,1,1,0,0,1,0,1,0
buzzfil.net,.net,1,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,1,0
censor.net.ua,.ua,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,2,0
ap.org,.org,1,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1,0
