Domain,http/https,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,dots,Label
,0,0,0,0,2,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
lumeradiamonds.com,0,0,0,1,2,0,0,0,0,0,0
,0,0,0,1,5,0,0,0,0,0,0
,0,0,0,0,5,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,1,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,2,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,1,5,0,0,0,0,0,0
,0,0,0,0,1,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
queuetimes.com,0,0,0,1,1,0,0,0,0,0,0
,0,0,0,0,2,0,0,0,0,0,0
,0,0,0,0,4,0,0,0,0,0,0
,0,0,0,0,2,0,0,0,0,0,0
,0,0,0,1,3,0,0,0,0,0,0
,0,0,0,1,2,0,0,0,0,0,0
,0,0,0,0,2,0,0,0,0,0,0
,0,0,0,0,2,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,1,6,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,4,0,0,0,0,0,0
,0,0,0,1,6,0,0,1,0,0,0
,0,0,0,1,3,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,4,0,0,1,0,0,0
,0,0,0,1,5,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,1,8,0,0,0,0,0,0
,0,0,0,1,3,0,0,0,0,0,0
,0,0,0,0,4,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,4,0,0,0,0,0,0
,0,0,0,0,2,0,0,0,0,0,0
,0,0,0,1,5,0,0,0,0,0,0
,0,0,0,1,5,0,0,1,0,0,0
,0,0,0,0,4,0,0,0,0,0,0
,0,0,0,0,2,0,0,0,0,0,0
,0,0,0,1,5,0,0,0,0,0,0
,0,0,0,1,2,0,0,0,0,0,0
lyrics.elvispresley.com.au,0,0,0,1,2,0,0,0,0,1,0
,0,0,0,0,4,0,0,0,0,0,0
,0,0,0,1,3,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,1,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
javascript.info,0,0,0,0,1,0,0,0,0,0,0
,0,0,0,0,2,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,4,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,2,0,0,0,0,0,0
,0,0,0,0,1,0,0,0,0,0,0
,0,0,0,1,5,0,0,1,0,0,0
,0,0,0,0,4,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,1,0,0,1,0,0,0
,0,0,0,1,5,0,0,0,0,0,0
,0,0,0,0,1,0,0,0,0,0,0
ebay.co.uk,0,0,0,0,2,0,0,0,0,1,0
,0,0,0,1,4,0,0,0,0,0,0
,0,0,0,0,2,0,0,0,0,0,0
,0,0,0,0,4,0,0,0,0,0,0
russell.ballestrini.net,0,0,0,1,1,0,0,0,0,0,0
slideshare.net,1,0,0,1,2,0,0,0,0,0,0
codepen.io,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,1,6,0,0,0,0,0,0
,0,0,0,0,4,0,0,0,0,0,0
techspot.com,0,0,0,1,3,0,0,1,0,0,0
,0,0,0,0,3,0,0,0,0,0,0
,0,0,0,0,1,0,0,0,0,0,0
,0,0,0,0,4,0,0,0,0,0,0
